component_name,count
"3G2,5",830
B2,11
CHP60-BW,197
E_Bend_Horizontal_CA_Generic_MEPcontent,9
E_Bend_Vertical_Outside_CA_Generic_MEPcontent,3
PD 360/8 basic SMB,1
Part1.sat,23
Part2.sat,23
Part3.sat,23
S4Rx_Generic_CableTray,5
T3,8
WCD enkelvoudig waterdicht,312
asp 1 fase,119
brandmelder,75
contactdoos 4-voudig,1
handbrandmelder,4
lasdoos AK2,5
ledige leiding,159
schakelaar enkelpolig,2
schakelaar enkelpolig tek,26
schakelaar wissel,56
standaard,26
wcd enkelvoudig,50
wcd enkelvoudig op aparte groep,75
wcd inbouw tweevoudig,206
wcd opbouw enkelvoudig,27
wcd opbouw enkelvoudig waterdicht,2
